Panini_id,sofifa_id,player_url,short_name,long_name,player_positions,name,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined,club_contract_valid_until,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,va al mundial,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,club_logo_url,club_flag_url,nation_logo_url,nation_flag_url
415,209981,https://sofifa.com/player/209981/yassine-bounou/220002,Y. Bounou,Yassine Bounou,GK,Yassine Bounou,82,82,20500000,29000,30,4/5/1991,192,78,481,Sevilla FC,Spain Primera Division,1,GK,13,,9/4/2020,2024,129,Morocco,,GK,2,Left,2,1,1,Medium/Medium,Lean (185+),Yes,si,43100000,,"GK Long Throw, Comes For Crosses, Saves with Feet",,,,,,,15,14,14,39,13,20,12,19,44,12,37,34,47,80,29,57,48,43,69,19,25,12,10,60,24,57,20,18,15,82,79,76,81,84,36,29+2,29+2,29+2,28,30,30,30,28,33+2,33+2,33+2,31+2,35+2,35+2,35+2,31+2,28+2,32+2,32+2,32+2,28+2,27+2,28+2,28+2,28+2,27+2,81+1,https://cdn.sofifa.net/players/209/981/22_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/ma.png
416,235410,https://sofifa.com/player/235410/youssef-en-nesyri/220002,Y. En-Nesyri,Youssef En-Nesyri,"ST, LW",Youssef En Nesyri,82,86,44000000,37000,24,6/1/1997,188,78,481,Sevilla FC,Spain Primera Division,1,ST,15,,1/16/2020,2025,129,Morocco,,ST,3,Left,4,3,2,High/High,Lean (185+),Yes,si,95700000,,"Speed Dribbler (AI), Power Header",78,83,58,78,35,76,48,89,84,69,76,84,63,47,58,79,74,81,68,80,47,83,83,76,76,75,76,31,82,52,67,74,27,31,27,13,9,14,9,13,,82+2,82+2,82+2,75,78,78,78,75,74+2,74+2,74+2,73+2,67+2,67+2,67+2,73+2,55+2,54+2,54+2,54+2,55+2,53+2,52+2,52+2,52+2,53+2,19+2,https://cdn.sofifa.net/players/235/410/22_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/ma.png
417,177509,https://sofifa.com/player/177509/medhi-benatia/220002,M. Benatia,Medhi Amine El Mouttaqi Benatia,CB,Medhi Benatia,80,80,7000000,19000,34,4/17/1987,189,94,111117,Fatih Karag�mr�k S.K.,Turkish S�per Lig,1,RCB,5,,7/30/2021,2023,129,Morocco,,RCB,4,Right,3,2,3,Medium/High,Normal (185+),No,si,14000000,#Strength,"Injury Prone, Leadership, Power Header",63,45,52,63,81,82,45,47,77,62,44,61,34,27,61,62,65,62,59,77,53,66,80,69,88,24,85,80,38,47,41,82,84,81,79,7,4,8,7,11,,59+3,59+3,59+3,55,56,56,56,55,56+3,56+3,56+3,58+3,60+3,60+3,60+3,58+3,69+3,73+3,73+3,73+3,69+3,71+3,79+1,79+1,79+1,71+3,15+3,https://cdn.sofifa.net/players/177/509/22_120.png,https://cdn.sofifa.net/teams/111117/60.png,https://cdn.sofifa.net/flags/tr.png,,https://cdn.sofifa.net/flags/ma.png
418,205705,https://sofifa.com/player/205705/zouhair-feddal/220002,Z. Feddal,Zouhair Feddal Agharbi,CB,Zouhair Feddal,80,80,14500000,17000,31,12/23/1989,192,84,237,Sporting CP,Portuguese Liga ZON SAGRES,1,LCB,3,,8/18/2020,2022,129,Morocco,,LCB,5,Left,2,2,1,Medium/Medium,Normal (185+),Yes,si,29000000,,"Dives Into Tackles (AI), Long Passer (AI)",61,50,63,60,82,77,57,40,80,78,49,58,36,38,74,69,53,68,47,74,34,67,75,65,80,56,86,80,52,47,48,69,82,83,80,13,14,12,10,8,,62+2,62+2,62+2,59,60,60,60,59,61+2,61+2,61+2,62+2,67+2,67+2,67+2,62+2,72+2,76+2,76+2,76+2,72+2,74+2,80,80,80,74+2,18+2,https://cdn.sofifa.net/players/205/705/22_120.png,https://cdn.sofifa.net/teams/237/60.png,https://cdn.sofifa.net/flags/pt.png,,https://cdn.sofifa.net/flags/ma.png
419,236401,https://sofifa.com/player/236401/noussair-mazraoui/220002,N. Mazraoui,Noussair Mazraoui,RB,Noussair Mazraoui,80,85,29500000,17000,23,11/14/1997,183,62,245,Ajax,Holland Eredivisie,1,RB,12,,11/1/2016,2022,129,Morocco,,RB,6,Right,3,3,2,High/Low,Lean (170-185),Yes,si,43500000,,"Injury Prone, Flair, Technical Dribbler (AI)",82,61,74,81,75,71,74,63,65,81,56,82,67,33,73,81,81,83,86,77,67,67,69,82,66,54,69,78,73,76,37,76,74,75,78,12,7,13,12,12,,72+2,72+2,72+2,77,75,75,75,77,77+2,77+2,77+2,78+2,77+2,77+2,77+2,78+2,78+2,77+2,77+2,77+2,78+2,78+2,74+2,74+2,74+2,78+2,18+2,https://cdn.sofifa.net/players/236/401/22_120.png,https://cdn.sofifa.net/teams/245/60.png,https://cdn.sofifa.net/flags/nl.png,,https://cdn.sofifa.net/flags/ma.png
420,194209,https://sofifa.com/player/194209/youssef-el-arabi/220002,Y. El Arabi,Youssef El Arabi,ST,Youssef El Arabi,79,79,8500000,2000,34,2/3/1987,182,84,280,Olympiacos CFP,Greek Super League,1,ST,11,,7/6/2019,2022,129,Morocco,,ST,7,Right,4,3,2,High/Medium,Normal (170-185),No,si,17900000,,"Finesse Shot, Flair, Long Shot Taker (AI), Outside Foot Shot",71,83,69,79,37,70,61,87,77,72,85,80,73,74,64,81,75,68,82,76,58,79,72,69,78,76,51,44,81,74,86,74,25,30,42,6,16,11,6,11,,79,79,79,77,78,78,78,77,77+2,77+2,77+2,75+2,71+2,71+2,71+2,75+2,58+2,57+2,57+2,57+2,58+2,56+2,52+2,52+2,52+2,56+2,17+2,https://cdn.sofifa.net/players/194/209/22_120.png,https://cdn.sofifa.net/teams/280/60.png,https://cdn.sofifa.net/flags/gr.png,,https://cdn.sofifa.net/flags/ma.png
421,220253,https://sofifa.com/player/220253/munir-el-haddadi/220002,Munir,Munir El Haddadi Mohamed,"LW, RW, ST",Munir El Haddadi,79,80,21000000,33000,25,9/1/1995,175,69,481,Sevilla FC,Spain Primera Division,1,SUB,11,,1/11/2019,2023,129,Morocco,,SUB,8,Left,3,4,2,High/Low,Lean (170-185),Yes,si,45700000,,"Speed Dribbler (AI), Chip Shot (AI)",79,78,75,82,35,66,73,79,77,80,80,82,81,67,62,83,82,76,83,78,79,78,66,72,66,77,58,25,78,76,66,80,38,27,25,9,12,6,13,16,,78+2,78+2,78+2,79,79,79,79,79,79+1,79+1,79+1,78+2,71+2,71+2,71+2,78+2,59+2,55+2,55+2,55+2,59+2,55+2,49+2,49+2,49+2,55+2,19+2,https://cdn.sofifa.net/players/220/253/22_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/ma.png
422,208295,https://sofifa.com/player/208295/romain-saiss/220002,R. Sa跳ss,Romain Sa跳ss,"CB, CM",Romain Saiss,78,78,9500000,69000,31,3/26/1990,188,84,110,Wolverhampton Wanderers,English Premier League,1,LCB,27,,8/30/2016,2022,129,Morocco,,LCB,9,Left,3,3,1,Medium/High,Lean (185+),Yes,si,18100000,,"Dives Into Tackles (AI), Long Passer (AI)",58,56,69,70,79,77,54,52,78,78,47,68,61,48,78,74,52,63,61,78,60,67,82,73,75,58,84,80,51,71,47,76,79,79,77,10,16,6,11,7,,64+2,64+2,64+2,64,66,66,66,64,68+2,68+2,68+2,66+2,73+2,73+2,73+2,66+2,72+2,78,78,78,72+2,73+2,78,78,78,73+2,18+2,https://cdn.sofifa.net/players/208/295/22_120.png,https://cdn.sofifa.net/teams/110/60.png,https://cdn.sofifa.net/flags/gb-eng.png,,https://cdn.sofifa.net/flags/ma.png
423,179605,https://sofifa.com/player/179605/adel-taarabt/220002,A. Taarabt,Adel Taarabt,"CM, CAM",Adel Taarabt,77,77,8500000,15000,32,5/24/1989,180,76,234,SL Benfica,Portuguese Liga ZON SAGRES,1,SUB,49,,7/1/2015,2023,129,Morocco,,SUB,10,Right,4,4,2,Medium/Medium,Normal (170-185),Yes,si,17000000,#Dribbler,"Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",68,69,77,84,65,74,75,65,36,78,73,86,81,71,74,85,69,67,80,80,78,76,37,78,71,68,87,68,74,79,70,83,68,69,64,4,6,4,4,6,,71+2,71+2,71+2,77,76,76,76,77,78-1,78-1,78-1,77,77,77,77,77,74+2,75+2,75+2,75+2,74+2,71+2,67+2,67+2,67+2,71+2,13+2,https://cdn.sofifa.net/players/179/605/22_120.png,https://cdn.sofifa.net/teams/234/60.png,https://cdn.sofifa.net/flags/pt.png,,https://cdn.sofifa.net/flags/ma.png
424,206493,https://sofifa.com/player/206493/yunis-abdelhamid/220002,Y. Abdelhamid,Yunis Abdelhamid,CB,Yunis Abdelhamid,77,77,5000000,25000,33,9/28/1987,190,83,379,Stade de Reims,French Ligue 1,1,LCB,5,,6/27/2017,2022,129,Morocco,,LCB,11,Left,3,2,2,Low/Medium,Normal (185+),No,si,10000000,,"Solid Player, Long Passer (AI), Team Player",33,33,56,65,78,83,28,25,76,75,24,68,57,31,71,71,35,31,33,74,44,58,83,79,85,23,81,77,38,45,42,73,78,80,76,9,11,15,16,9,,53+2,53+2,53+2,50,54,54,54,50,55+2,55+2,55+2,55+2,65+2,65+2,65+2,55+2,66+2,75+2,75+2,75+2,66+2,67+2,77,77,77,67+2,18+2,https://cdn.sofifa.net/players/206/493/22_120.png,https://cdn.sofifa.net/teams/379/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/ma.png
425,213761,https://sofifa.com/player/213761/abderrazak-hamdallah/220002,A. Hamdallah,Abderrazak Hamdallah,ST,Abderrazak Hamdallah,77,77,10500000,42000,30,12/17/1990,180,82,112139,Al Nassr,Saudi Abdul L. Jameel League,1,ST,9,,8/23/2018,2022,129,Morocco,,ST,12,Right,4,3,2,Medium/Low,Stocky (170-185),No,si,17900000,,"Finesse Shot, Power Header, Outside Foot Shot, Chip Shot (AI)",74,78,70,77,30,72,66,82,74,72,73,79,75,72,60,76,73,75,79,75,52,80,71,73,78,70,57,20,80,74,67,78,30,25,20,9,11,9,15,10,,77,77,77,76,77,77,77,76,75+2,75+2,75+2,74+2,68+2,68+2,68+2,74+2,54+2,52+2,52+2,52+2,54+2,50+2,46+2,46+2,46+2,50+2,18+2,https://cdn.sofifa.net/players/213/761/22_120.png,https://cdn.sofifa.net/teams/112139/60.png,https://cdn.sofifa.net/flags/sa.png,,https://cdn.sofifa.net/flags/ma.png
426,205083,https://sofifa.com/player/205083/faycal-fajr/220002,F. Fajr,Fay踏al Fajr,"CM, CDM, RM",Faycal Fajr,76,76,6000000,19000,32,8/1/1988,179,71,101041,Demir Grup Sivasspor,Turkish S�per Lig,1,LCM,76,,9/14/2020,2022,129,Morocco,,LCM,13,Right,4,3,2,High/Medium,Lean (170-185),No,si,12000000,,"Flair, Long Passer (AI), Playmaker (AI), Outside Foot Shot",59,73,78,76,67,69,77,71,49,79,62,77,82,78,80,78,64,55,73,77,71,76,33,80,67,77,69,72,67,75,72,63,67,69,68,15,12,14,15,6,,70+2,70+2,70+2,73,73,73,73,73,75+1,75+1,75+1,74+2,76,76,76,74+2,73+2,74+2,74+2,74+2,73+2,71+2,67+2,67+2,67+2,71+2,19+2,https://cdn.sofifa.net/players/205/083/22_120.png,https://cdn.sofifa.net/teams/101041/60.png,https://cdn.sofifa.net/flags/tr.png,,https://cdn.sofifa.net/flags/ma.png
427,208045,https://sofifa.com/player/208045/oussama-tannane/220002,O. Tannane,Oussama Tannane,"CAM, RM",Oussama Tannane,76,76,8000000,18000,27,3/23/1994,177,80,1909,Vitesse,Holland Eredivisie,1,CAM,14,,7/12/2019,2022,129,Morocco,,CAM,14,Left,3,4,1,Medium/Medium,Stocky (170-185),No,si,12000000,,"Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",79,76,73,78,41,75,68,74,45,73,70,80,82,76,74,78,77,80,74,72,78,80,57,68,80,80,78,38,73,76,75,72,46,39,34,9,6,7,11,10,,73+2,73+2,73+2,76,76,76,76,76,76,76,76,75+1,71+2,71+2,71+2,75+1,60+2,61+2,61+2,61+2,60+2,56+2,53+2,53+2,53+2,56+2,16+2,https://cdn.sofifa.net/players/208/045/22_120.png,https://cdn.sofifa.net/teams/1909/60.png,https://cdn.sofifa.net/flags/nl.png,,https://cdn.sofifa.net/flags/ma.png
428,224158,https://sofifa.com/player/224158/sofyan-amrabat/220002,S. Amrabat,Sofyan Amrabat,"CDM, CM",Sofyan Amrabat,76,79,9500000,36000,24,8/21/1996,185,70,110374,Fiorentina,Italian Serie A,1,SUB,34,,1/31/2020,2024,129,Morocco,,SUB,15,Right,2,3,1,Low/High,Normal (185+),No,si,16900000,,,69,71,70,75,73,78,59,70,61,80,68,71,69,58,71,82,69,69,64,74,82,72,69,78,80,75,75,74,68,68,57,82,77,73,67,13,13,6,16,12,,72+2,72+2,72+2,72,73,73,73,72,73+2,73+2,73+2,72+2,75+2,75+2,75+2,72+2,73+2,75+2,75+2,75+2,73+2,72+2,73+2,73+2,73+2,72+2,20+2,https://cdn.sofifa.net/players/224/158/22_120.png,https://cdn.sofifa.net/teams/110374/60.png,https://cdn.sofifa.net/flags/it.png,,https://cdn.sofifa.net/flags/ma.png
429,228747,https://sofifa.com/player/228747/oussama-idrissi/220002,O. Idrissi,Oussama Idrissi,LW,Oussama Idrissi,76,79,10000000,26000,25,2/26/1996,175,78,481,Sevilla FC,Spain Primera Division,1,SUB,22,,10/5/2020,2025,129,Morocco,,SUB,16,Right,2,4,1,High/Medium,Normal (170-185),No,si,21800000,,"Flair, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",83,76,70,80,35,69,64,75,48,74,74,82,84,68,68,80,85,82,80,71,72,81,35,75,69,80,68,25,73,67,45,74,36,37,34,15,16,8,10,16,,74+2,74+2,74+2,76,76,76,76,76,76+2,76+2,76+2,75+2,69+2,69+2,69+2,75+2,58+2,56+2,56+2,56+2,58+2,55+2,48+2,48+2,48+2,55+2,20+2,https://cdn.sofifa.net/players/228/747/22_120.png,https://cdn.sofifa.net/teams/481/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/ma.png
430,244749,https://sofifa.com/player/244749/nayef-aguerd/220002,N. Aguerd,Nayef Aguerd,CB,Nayef Aguerd,76,80,9500000,36000,25,3/30/1996,188,76,74,Stade Rennais FC,French Ligue 1,1,LCB,6,,8/14/2020,2024,129,Morocco,,LCB,17,Left,3,2,2,Medium/Medium,Lean (185+),No,si,18800000,,Long Passer (AI),60,45,60,61,76,77,43,38,79,73,31,56,43,41,67,68,57,62,59,74,56,62,86,78,75,46,76,76,42,57,48,65,75,78,74,7,15,9,14,6,,58+2,58+2,58+2,56,58,58,58,56,60+2,60+2,60+2,59+2,65+2,65+2,65+2,59+2,69+2,73+2,73+2,73+2,69+2,70+2,76+2,76+2,76+2,70+2,17+2,https://cdn.sofifa.net/players/244/749/22_120.png,https://cdn.sofifa.net/teams/74/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/ma.png
431,198640,https://sofifa.com/player/198640/zakaria-labyad/220002,Z. Labyad,Zakaria Labyad,"CAM, CF",Zakaria Labyad,75,75,5500000,16000,28,3/9/1993,175,65,245,Ajax,Holland Eredivisie,1,SUB,19,,7/1/2018,2022,129,Morocco,,SUB,18,Right,5,4,1,Medium/Low,Normal (170-185),No,si,7700000,,"Finesse Shot, Flair, Long Shot Taker (AI)",72,75,76,78,36,54,77,71,52,73,74,77,85,83,68,82,74,71,75,71,80,83,40,68,55,82,38,31,66,81,68,75,36,36,28,10,10,14,15,11,,71+2,71+2,71+2,75,75,75,75,75,75,75,75,74+1,70+2,70+2,70+2,74+1,58+2,55+2,55+2,55+2,58+2,54+2,44+2,44+2,44+2,54+2,18+2,https://cdn.sofifa.net/players/198/640/22_120.png,https://cdn.sofifa.net/teams/245/60.png,https://cdn.sofifa.net/flags/nl.png,,https://cdn.sofifa.net/flags/ma.png
432,225699,https://sofifa.com/player/225699/anuar-mohamed-tuhami/220002,Anuar,Anuar Mohamed Tuhami,"CDM, CM, CAM",Anuar Mohamed Tuhami,75,80,7500000,11000,26,1/15/1995,174,69,462,Real Valladolid CF,Spanish Segunda Divisi�n,2,SUB,25,,7/1/2017,2023,129,Morocco,,SUB,19,Right,3,3,1,High/High,Normal (170-185),Yes,si,12600000,#Engine,Speed Dribbler (AI),74,62,69,72,73,72,65,62,70,76,51,70,64,42,71,71,76,73,81,74,82,67,75,88,63,65,75,73,61,69,51,66,74,75,70,12,8,7,14,8,,67+2,67+2,67+2,70,69,69,69,70,70+2,70+2,70+2,71+2,72+2,72+2,72+2,71+2,74+2,74+2,74+2,74+2,74+2,74+2,72+2,72+2,72+2,74+2,17+2,https://cdn.sofifa.net/players/225/699/22_120.png,https://cdn.sofifa.net/teams/462/60.png,https://cdn.sofifa.net/flags/es.png,,https://cdn.sofifa.net/flags/ma.png
433,232097,https://sofifa.com/player/232097/amine-harit/220002,A. Harit,Amine Harit,"LM, CAM, CM",Amine Harit,75,81,9000000,11000,24,6/18/1997,180,67,219,Olympique de Marseille,French Ligue 1,1,SUB,7,FC Schalke 04,,2022,129,Morocco,,SUB,20,Right,3,5,2,High/Medium,Lean (170-185),Yes,si,,,"Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",79,64,69,81,45,47,62,67,44,74,63,83,67,54,70,80,83,76,86,74,81,54,48,72,34,63,46,39,68,73,68,64,48,50,32,15,13,10,13,6,,66+2,66+2,66+2,75,73,73,73,75,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,61+2,59+2,59+2,59+2,61+2,58+2,48+2,48+2,48+2,58+2,19+2,https://cdn.sofifa.net/players/232/097/22_120.png,https://cdn.sofifa.net/teams/219/60.png,https://cdn.sofifa.net/flags/fr.png,,https://cdn.sofifa.net/flags/ma.png
434,162329,https://sofifa.com/player/162329/karim-el-ahmadi/220002,K. El Ahmadi,Karim El Ahmadi Al Aroos,"CDM, CM",Karim El Ahmadi,74,74,825000,21000,36,1/27/1985,181,78,607,Al Ittihad,Saudi Abdul L. Jameel League,1,LDM,20,,7/9/2018,2022,129,Morocco,,LDM,21,Right,2,3,2,Low/Medium,Normal (170-185),Yes,si,1400000,,"Leadership, Long Shot Taker (AI), Team Player",57,58,67,67,72,76,58,49,60,74,61,65,67,48,75,70,55,58,63,69,69,72,67,76,76,62,77,77,64,62,63,79,68,77,73,12,16,11,14,8,,63+2,63+2,63+2,63,64,64,64,63,65+2,65+2,65+2,65+2,70+2,70+2,70+2,65+2,70+2,73+1,73+1,73+1,70+2,69+2,72+2,72+2,72+2,69+2,19+2,https://cdn.sofifa.net/players/162/329/22_120.png,https://cdn.sofifa.net/teams/607/60.png,https://cdn.sofifa.net/flags/sa.png,,https://cdn.sofifa.net/flags/ma.png
435,193738,https://sofifa.com/player/193738/younes-belhanda/220002,Y. Belhanda,Youn态s Belhanda,"CM, CAM",Younes Belhanda,74,74,3500000,17000,31,2/25/1990,179,75,101016,Adana Demirspor,Turkish S�per Lig,1,CAM,10,,7/2/2021,2024,129,Morocco,,CAM,22,Right,4,4,2,Medium/Medium,Normal (170-185),No,si,7000000,,"Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",72,71,77,78,59,69,77,70,67,77,69,79,78,75,76,80,73,72,74,69,78,73,79,74,63,69,75,60,71,79,80,72,55,59,58,15,16,11,6,16,,72+2,72+2,72+2,75-1,74,74,74,75-1,76-2,76-2,76-2,76-2,74,74,74,76-2,69+2,68+2,68+2,68+2,69+2,67+2,64+2,64+2,64+2,67+2,19+2,https://cdn.sofifa.net/players/193/738/22_120.png,https://cdn.sofifa.net/teams/101016/60.png,https://cdn.sofifa.net/flags/tr.png,,https://cdn.sofifa.net/flags/ma.png
436,203376,https://sofifa.com/player/203376/virgil-van-dijk/220002,V. van Dijk,Virgil van Dijk,CB,Virgil Van Dijk,89,89,86000000,230000,29,7/8/1991,193,92,9,Liverpool,English Premier League,1,LCB,4,,1/1/2018,2025,34,Netherlands,105035,LCB,4,Right,3,2,4,Medium/Medium,Unique,Yes,si,159100000,"#Tackling, #Tactician, #Strength, #Complete Defender","Leadership, Long Passer (AI), Power Header",78,60,71,72,91,84,53,52,87,79,45,70,60,70,86,76,66,88,61,87,53,81,90,69,92,64,83,90,47,65,62,90,92,92,86,13,10,13,11,11,,70+3,70+3,70+3,67,69,69,69,67,70+3,70+3,70+3,70+3,75+3,75+3,75+3,70+3,79+3,84+3,84+3,84+3,79+3,81+3,88+1,88+1,88+1,81+3,20+3,https://cdn.sofifa.net/players/203/376/22_120.png,https://cdn.sofifa.net/teams/9/60.png,https://cdn.sofifa.net/flags/gb-eng.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
437,228702,https://sofifa.com/player/228702/frenkie-de-jong/220002,F. de Jong,Frenkie de Jong,"CM, CDM, CB",Frenkie De Jong,87,92,119500000,210000,24,5/12/1997,180,74,241,FC Barcelona,Spain Primera Division,1,RCM,21,,7/1/2019,2026,34,Netherlands,105035,CDM,21,Right,3,4,3,High/Medium,Unique,Yes,si,253900000,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder","Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",81,69,85,88,77,78,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,68,76,90,74,66,75,82,77,86,45,90,76,76,77,7,13,10,10,9,,78+3,78+3,78+3,83,82,82,82,83,85+3,85+3,85+3,85+3,86+3,86+3,86+3,85+3,83+3,83+3,83+3,83+3,83+3,82+3,78+3,78+3,78+3,82+3,18+3,https://cdn.sofifa.net/players/228/702/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
438,198176,https://sofifa.com/player/198176/stefan-de-vrij/220002,S. de Vrij,Stefan de Vrij,CB,Stefan De Vrij,85,85,45000000,145000,29,2/5/1992,189,78,44,Inter,Italian Serie A,1,CB,6,,7/1/2018,2023,34,Netherlands,105035,RCB,6,Right,3,2,3,Medium/High,Unique,Yes,si,76500000,"#Tackling, #Tactician迨",Long Passer (AI),72,41,64,70,87,79,49,25,84,75,27,66,45,16,71,75,69,74,61,85,59,65,79,80,79,60,77,87,31,70,41,85,89,87,85,8,10,7,14,13,,59+3,59+3,59+3,61,62,62,62,61,65+3,65+3,65+3,64+3,71+3,71+3,71+3,64+3,77+3,81+3,81+3,81+3,77+3,79+3,84+1,84+1,84+1,79+3,19+3,https://cdn.sofifa.net/players/198/176/22_120.png,https://cdn.sofifa.net/teams/44/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
439,202556,https://sofifa.com/player/202556/memphis-depay/220002,M. Depay,Memphis Depay,"CF, LW, CAM",Memphis Depay,85,86,63000000,220000,27,2/13/1994,176,78,241,FC Barcelona,Spain Primera Division,1,LW,9,,7/1/2021,2023,34,Netherlands,105035,ST,10,Right,3,5,3,High/Low,Unique,Yes,si,133900000,#Dribbler,"Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",82,83,82,84,30,79,84,83,65,81,74,86,85,83,76,85,81,83,80,83,81,87,69,79,83,83,72,28,85,85,76,80,23,31,20,8,14,6,12,10,,82+3,82+3,82+3,84,84,84,84,84,83+3,83+3,83+3,83+3,77+3,77+3,77+3,83+3,61+3,59+3,59+3,59+3,61+3,56+3,49+3,49+3,49+3,56+3,19+3,https://cdn.sofifa.net/players/202/556/22_120.png,https://cdn.sofifa.net/teams/241/60.png,https://cdn.sofifa.net/flags/es.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
440,235243,https://sofifa.com/player/235243/matthijs-de-ligt/220002,M. de Ligt,Matthijs de Ligt,CB,Matthijs De Ligt,85,90,75000000,81000,21,8/12/1999,189,89,45,Juventus,Italian Serie A,1,LCB,4,,7/18/2019,2024,34,Netherlands,105035,SUB,3,Right,3,2,3,Medium/High,Unique,Yes,si,129400000,#Strength,"Solid Player, Power Header",73,59,60,69,84,87,52,50,85,75,45,65,48,55,63,73,71,75,60,84,62,82,93,75,93,66,83,81,44,45,40,82,84,85,85,12,11,11,12,10,,68+3,68+3,68+3,64,65,65,65,64,64+3,64+3,64+3,65+3,67+3,67+3,67+3,65+3,75+3,78+3,78+3,78+3,75+3,78+3,84+3,84+3,84+3,78+3,19+3,https://cdn.sofifa.net/players/235/243/22_120.png,https://cdn.sofifa.net/teams/45/60.png,https://cdn.sofifa.net/flags/it.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
441,181291,https://sofifa.com/player/181291/georginio-wijnaldum/220002,G. Wijnaldum,Georginio Wijnaldum,"CM, CDM",Georginio Wijnaldum,84,84,40500000,115000,30,11/11/1990,175,74,73,Paris Saint-Germain,French Ligue 1,1,RCM,18,,7/1/2021,2024,34,Netherlands,105035,RCM,8,Right,4,4,3,High/High,Unique,Yes,si,74900000,#Engine,"Solid Player, Flair",77,75,80,86,79,79,72,75,78,87,73,85,78,73,81,88,78,76,84,86,88,78,81,93,74,73,75,80,79,79,74,86,79,80,70,16,6,14,12,6,,80+3,80+3,80+3,81,82,82,82,81,82+2,82+2,82+2,82+2,83+1,83+1,83+1,82+2,81+3,82+2,82+2,82+2,81+3,80+3,79+3,79+3,79+3,80+3,19+3,https://cdn.sofifa.net/players/181/291/22_120.png,https://cdn.sofifa.net/teams/73/60.png,https://cdn.sofifa.net/flags/fr.png,https://cdn.sofifa.net/teams/105035/60.png,https://cdn.sofifa.net/flags/nl.png
